Vessel name,Bandeira,Total embarked,Total disembarked,Percent men,Percent women,Mortality rate,Middle passage,Captain's name
Anne Marie,France,316,241,,,,,"Abel, Jean van"
Casseaudre,,316,241,,,,,Beussaud
Joly,,316,241,,,,,Masse
Pont d'Or,France,316,241,,,,,Bauden
Avanturier,France,316,241,,,,,"Compere, Joseph"
 ,France,316,241,,,,,Laguille
Saint Jean,France,316,241,,,,,"Dubois, Jean"
Mitre (Amitie),France,316,241,,,,,"Guillemin, Antoine"
Comtesse de Choiseul,France,393,300,,,,,"Thomas, Jean"
Saint Jean Evangile,,316,241,,,,,Guillemin
Soleil d'Afrique,France,309,250,,,,,"Ratteau, Jacques"
Marie,France,316,241,,,,,"Congerie, Pierre"
Conquis,France,316,241,,,,,"Guiolle, Charles de (a) Guyole, Charles de"
Diligente,France,316,241,,,,,
Saint François,France,316,241,,,,,Mallet
Comte de Tessé,,45,34,,,,43,"Thomas, Isaac"
Jacob,Netherlands,152,120,,,,83,"Briand, Charles<br/> Briand, Charles"
 ,,316,241,,,,,
 ,,316,241,,,,,
Comte de Lamoignon (a) Mignon,France,450,343,,,,,"Bouquier, Ferrer"
Fleur-de-Lys,France,60,45,,,,,
Brave,France,760,695,,,,,
Confiance,France,437,400,,,,,"Castagnet, Paul"
Eliza,France,138,136,,,0.01,20,"Vilaine, Marc"
Mercure Volant,,,,,,,,"Maigran, Joseph le"
Renommée,France,316,241,,,,,
Prudence,,316,241,,,,,"Guo[ ]lt, Charles"
 ,France,179,158,,,,,
 ,France,330,264,,,,,
Mignon,,338,242,,,,,
 ,France,332,,,,,,
Alexandre,France,260,42,,,0.84,125,
Freres,Portugal,346,292,0.57045,0.21649,,,"Quiehud, Luís"
Mirabeau,France,,,,,,,
Epaminondas,Netherlands,19,,,,,,"Din Baas, Isaac"
Saint Joseph,France,61,52,,,,,
Junon,France,179,159,,,,,Doquin
Henri,France,179,159,,,,,Alain
Deux Amis,France,310,279,,,,,Durbee
Jeune Richard,France,179,159,,,,,
Trois Frères,France,234,192,,,,,Dusmenil
Deux Amis,France,272,250,,,,,"Gaston-Grollier, Jean B."
Constance,France,179,159,,,,,
De Colombus,France,226,204,,,,,
Philipina,France,310,266,,,,,
Aventure,France,100,,,,,,Danberique
Villeneuve,France,,,,,,,Bonette
Belle Arsene,France,310,266,,,,,Daribeau
Louise,France,310,266,,,,,Bacon
Impatient,,223,198,,,,,Amons
Olivier,,352,335,,,,,Bertrand
Prudence,,144,110,,,,,"Dufay,Charles"
Saint François,France,250,191,,,,,"Duport, Etienne"
Marie,France,105,80,,,,,"Moyde, La"
Africaine,France,316,241,,,,,Tharay
Ecureil,France,316,241,,,,,Moreau
Capricieux,France,36,33,,,0.08,,Pain
Triton,France,37,34,,,0.08,,
Paix,France,316,241,,,,,"Moisse, La"
Conquis,France,316,241,,,,,Guillet
Normand,France,316,241,,,,,Germain
Entendu,France,316,241,,,,,Ducasse
Ville de Lyon,France,316,241,,,,,Michon
Marie,France,316,241,,,,,Hulcoq
Paix,France,316,241,,,,,Guillemin
Etoile d'Or,France,380,290,,,,,"Chaboisseau, Jean"
Maréchal,France,316,241,,,,,"Guillot, Jean"
Catherine d'Honfleur,France,316,241,,,,,Berranger (Bellanger)
 ,France,316,241,,,,,"Marié, Le"
Renommée,France,316,241,,,,,"Lestrille, Jacques de"
Saint-Jean Baptiste,France,105,90,,,0.14,37,"Le Cerf, Jean"
Victoire,France,83,74,,,,,"Closerie, Jean Manier de la"
Sirène,France,316,241,,,,27,Canut
Tempête,France,303,287,,,0.05,,"Casse, Jean Baptiste du"
Marin,France,180,180,,,0.0,,Guillotin
Pont d'Or,France,641,489,,,,,"Compere, Joseph"
Léger,France,328,250,,,,30,Bernard
 ,,308,235,,,,,
 ,,223,170,,,,,
Europe,,750,500,,,0.33,,"Flocelière, de la<br/> Roux"
Neptune,,869,619,,,0.29,,"Lemaire, René<br/> Fornillier"
 ,,142,108,,,,,
 ,,131,100,,,,,
 ,,655,500,,,,,
Duc de Bretagne,France,361,302,,,0.16,431,"Cazalis, Jean de"
Glorieux,France,262,200,,,,,"Macet, Isaac"
Pont d'Or,France,655,500,,,,,"Compere, Joseph"
 ,,197,150,,,,,
Saint Michel,France,386,267,,,,,
Conquis,,207,158,,,,55,"Guiolle, Charles de (a) Guyole, Charles de"
Nimphe,,448,400,,,,,La Fayette
Pelicano,,400,313,,,,,Candray
Rey Cristianisimo,,400,313,,,,,"Brandille, A."
Gaillarde,,382,298,,,,,"Guillot, Juan"
Girondela,,400,313,,,,,
Golondrina,,400,313,,,,,Vandrill
 ,,102,80,,,,,Cazalis
Esperance,France,58,44,,,,,
Licorne,,367,280,,,,,"Alders, Jacob"
Saint François,France,316,241,,,,,
 ,,76,58,,,,,Ferrand
Capricieux,France,316,241,,,,,Pain
Jeux,France,734,560,,,,,"Piraut, François"
Saint-Louis,,316,241,,,,,"Darnes, Marcel"
Joly,France,316,241,,,,,Damon
Saint-Louis,France,316,241,,,,,"Vigner, François"
Ambuscade (a) Embuscade,France,313,241,,,,,"Duhulgns, Jean"
Avanturier,France,316,241,,,,,"Drolle, Charles la"
Soleil d'Afrique,France,316,241,,,,,"Ramé, Jean"
Soleil d'Afrique,France,316,241,,,,,"Compere, Joseph"
Hirondelle,,316,241,,,,,"Doens, Jean"
Marie,,316,241,,,,,"Congerie, Pierre"
Saint François,France,316,241,,,,,"Ramé, Jean"
Esperance,France,316,241,,,,,"Doens, Jean"
Hirondelle,France,316,241,,,,,"Jey, Nicolas le"
Saint Louis,France,316,241,,,,,Bocquet
Badine,France,700,14,,,0.98,,"Bouloc, de"
Marin,France,150,,,,,,Demond
Avenant,France,560,,,,1.0,,"Doublet, Jean"
Faucon François,France,557,435,0.51923,0.32051,,,"Barnebau,Andrieu"
Benet,Great Britain,,,,,,,"Maurice, Robert"
Badine,France,624,487,,,,,"Frondat, M"
Charmante Louise,France,389,388,,,0.0,,Landolphe
Goude Poort,,316,241,,,,,"Sage, Toussaint le"
Tourterelle,,233,200,,,,,
Seminel,,142,38,,,0.73,,
Maréchal de Sèvres,,248,242,,,0.02,,
Poli,,359,339,,,,,"Veoulesard<br/> Balear, M"
Paquebot de Bourbon,France,190,131,,,,,
Joujou,France,169,150,,,,,"Desse, Pierre"
 ,France,316,241,,,,,Geleé
Princesse,,292,260,,,,,"Bastresse, Bernard"
Poli,,316,241,,,,,"Bastresse, Bernard"
Princesse,,292,260,,,,,"Delarue, Francis Simon"
Maupeou,,292,260,,,,,"Cazalis, Jean"
Conquis,,316,241,,,,,"Guiolle, Charles de (a) Guyole, Charles de"
Auguste,,200,186,,,0.07,44,"Thomas, Isaac"
Brillant,,316,241,,,,,"Bouet, Guillaume"
Hermine,,172,131,,,,,"Burgein, Pierre"
Cupidon,France,420,360,,,0.14,66,"Duval du Manoir, Jean"
Ceran,France,350,267,,,,,"Moitie, Rene"
Ceran,,316,241,,,,,"Moitie, Rene"
Esperance,,316,241,,,,,"Paon, Jean"
Neptune,France,316,241,,,,,"Mion, Rene"
Amazone,,316,241,,,,,"Dosset, Michel"
Superbe,France,316,241,,,,,"Canaville, Morice de"
Opiniatre,,316,241,,,,,
Gaillarde,,316,241,,,,99,"Dosset, Michel"
Wesquermer,,313,239,,,,,Sambandrill
Ppe Conty,,288,220,,,,,"Botas, Duxen"
Sereine,,250,191,,,,,"Gildem, Cornel"
Diligente,,316,241,,,,,
Marianne,,316,241,,,,,"Bastresse, Bernard"
Saint Francois de Paule,,316,241,,,,,"Fage, Jean"
Saint Maurice,,316,241,,,,,Guillot
Diligence,,316,241,,,,,"Guiolle, Charles de (a) Guyole, Charles de"
Andromede,,316,241,,,,,"Legac, Gabriel"
Triton,,316,241,,,,,"Paon, Jean"
Emporte,,316,241,,,,,
Heureux,,316,241,,,,,"Tischler, Stephen"
Maupeou,,316,241,,,,,
Poli,,316,241,,,,,
Poli,,316,241,,,,,
Sirenne,France,316,241,,,,,"Duvigneau, Jacques"
 ,,316,241,,,,,
Zéphyr,France,183,160,,,,,
 ,,114,100,,,,,"Gassies, Menand"
Comte d'Estaing,France,33,33,0.73333,0.26667,,,"Ollivier, Jean-Jacques<br/> Gasqui, Caesar"
Jack,France,465,400,,,,,
Lusitano,Portugal,581,500,,,,,Gonçalves
Aimable Thérèse,France,151,130,,,,,Millon
Bonne Esperance,Netherlands,313,241,,,,,"Pijl, Sijmon<br/> Andriesz, Andries"
Sainte-Trinité,France,313,241,,,,,Tourtel
Roi Congo,France,606,527,,,,67,Lacoudrais
Franklin,,,,,,,,
Printemps,France,430,380,,,,,"Castaing, Abel<br/> Estansan<br/> Denugon, Elie"
Saint Jacques,,35,28,,,,62,"Montulay, Mathieu"
Heureuse Famille,France,347,310,,,,,"Aulay Launay, Louis<br/> Mauris, François"
Belle,France,501,501,0.52894,0.1996,0.0,45,"Brian, François"
Bonne Mère,France,319,263,,,,,Legle
Orthezienne,France,234,192,,,,,
Sénégalaise,France,339,279,,,,,"Blais, Etienne"
Actif,France,234,192,,,,,Dithurbide
Affriquain,France,234,192,,,,,Plassiard
Africain,France,319,263,,,,49,"Pottier, Joseph"
Cultivateur,France,519,507,0.31707,0.17886,0.02,,Leray
Félicité,France,234,192,,,,,
Hermone,France,231,211,,,,,"Honfleur, D d'"
Jenny,France,179,159,,,,,Anquetil
Louise,France,234,192,,,,,Lequesne
Petite Louise,France,319,263,,,,,Lancelot
Petit Schooner de Nantes,France,179,159,,,,,
Zoé,France,401,367,,,,,Mucret
Flore,France,250,222,,,,,Gassies
Mary,France,,,,,,,Myeux
Petit Betsy (a) Sénégalaise,France,164,156,,,,,"Blay, Etienne"
Sénégalaise,France,500,447,,,,,Michot
Alexandre,France,234,192,,,,,"Freton, Pierre<br/> Rabot"
Arriero,Spain,246,220,,,,,"Hechavarria, Antonio"
Astrée,France,183,160,,,,,Candeau<br/> Giraud
Caroline,France,234,192,,,,,
Elysée (a) Eliza,France,273,250,,,,,"Hamon, Jean Marie"
Jeune Laure,France,282,250,,,,,Lainé
Louise,France,234,192,,,,,
Marie,France,179,159,,,,,Guillot
Petit Betsy,France,234,192,,,,,Blay
Reine Caroline,France,18,16,,,,,Coquard au Pouliguen
Suzanne,France,234,192,,,,,"Thébaud, Michel Julien"
Astrée,France,183,160,,,,,"Peytavin, Louis"
Aurore,France,106,87,,,,,Deniel
Calypso,France,234,192,,,,,
Caroline,France,234,192,,,,,Pelleport
Cérès,France,273,250,,,,,"Lebreton, Jacques"
Charles,France,319,263,,,,,Guinée
Charles,France,319,263,,,,,Guinée
Charlotte,France,319,263,,,,,"Blond, Pierre"
Circée,France,234,192,,,,,Benoît
Dorade,France,225,200,,,,,"Gassies, Menand"
Eclair,France,325,267,,,,,Sée
Gaston,France,319,263,,,,,Bernard-Duhautcilly
Heureuse Etoile,France,183,160,,,,,
Jules Hyppolite,France,234,192,,,,,"Thibault, J P<br/> Tassistre"
Philis,France,179,159,,,,,Magouet
Postillon,France,81,81,,,0.0,,Canon
Sophie,France,179,159,,,,,Dendicolle
Syréne,France,183,160,,,,,"Gosselin, Pierre Isaac"
Thémire,France,234,192,,,,,Guyot
Zéphyr,France,179,159,,,,,Bayot<br/> Boucheroit
Achille,France,179,159,,,,,"Michel, Tragin Jacques"
Actif,France,234,192,,,,,"Dithurbide, Martin<br/> Coquard, Benjamin"
Amitié,France,278,246,,,,,"Christiaens, Louis"
Auguste,France,12,11,,,,,
Charlotte,France,273,250,,,,,"Blond, Pierre"
Comba,France,183,160,,,,,
Cybèle,France,215,177,,,,,Gosselin
Deux Soeurs,France,234,192,,,,,Delomosne
Eclair,France,234,192,,,,,Lequesne
Elysée,France,234,192,,,,,Geoffroy
Espérance,France,273,250,,,,,"Bréant, Jacques"
Espoir,France,183,160,,,,,"Denis, Frédéric-Constant"
Gazelle,France,319,263,,,,,"Valenton, Raymon-Mercier"
Irène,France,171,150,,,,59,"Paqué, Jean-Julien"
Isis,France,273,250,,,,,"Geffroy, Jean-René<br/> Lartigues, Jacques"
Jeune Alexande,France,234,192,,,,,Blay
Jules Hyppolite,France,273,250,,,,,"Gautier, Joseph"
Laure,France,273,250,,,,,"Levêque, Prosper"
Levrette,France,105,91,,,,,"Daniel de L'Ecluse, Yves-Marie"
Louise,France,234,192,,,,,Farcy
Maria Isabella,France,234,192,,,,,
Marie,France,106,90,0.22222,0.14444,0.15,,"Guillot, Valentin"
Marie Paule,France,100,88,,,,,Quoniam
 ,France,67,59,,,,,
 ,France,130,119,,,,,Valentin
 ,France,9,8,,,,,Roubaud
Pensée,France,273,250,,,,50,"Benoist, Etienne"
Saint Joseph,France,234,192,,,,,Guillotin
Scholastique,France,25,20,,,0.2,,"Brun, Louis Martin"
Télémaque,France,135,122,0.31148,0.39344,,,Amanieu
Thémistocle,France,273,250,,,,,"Martin, Pierre"
Trois Amis,France,183,160,,,,,Blanc Pascal
Virginie,France,234,192,,,,,Gouverne
Zéphyr,France,234,192,,,,,"Denis, Fréderic-Constant"
Adèle Aimée,France,209,172,,,,,Bouffier
Adolphe,France,380,351,,,,,Duholmard
Africain,France,170,152,,,,,Quoniam
Africain,France,233,204,,,,,"Bureau, Elie Daniel"
Amis,France,234,192,,,,,"Victor, Roger Hyppolite"
Angélique,France,26,20,,,0.23,,"Daubin, Bruno"
Astrée,France,183,160,,,,,"Leglé, Joseph François"
Atalante,France,210,197,,,0.06,,Boulemère
Béarnais,France,253,226,,,,,Peccarère<br/> Arnoult
Bons Amis,France,234,192,,,,,Vatel
Caroline,France,240,198,,,,,"Gautreau, Pierre"
Catherine,France,,,,,,,"Martin, Jean Baptiste"
Cérès,France,72,,,,,,"Lemerle, Pierre Jean"
Charlotte,France,218,200,,,,,"Blond, Pierre"
Confiance,France,350,288,,,,,Gaultier
Cosmopolite,France,234,192,,,,,Machives
Cygne,France,234,192,,,,,Vailhen<br/> Heutte
Dauphin,France,325,300,,,,,"Scolan, Joseph"
Désiré,France,234,192,,,,,Obard
Deux Soeurs,France,234,192,,,,,Delomosne<br/> Pierre
Deux Soeurs,France,234,192,,,,,Voissard
Deux Soeurs,France,278,246,,,,,Rebuffa
Eclair,France,234,192,,,,,Matthieu<br/> Lequesne
Elisa,France,234,192,,,,,Gautreau
Espoir,France,200,174,,,,35,"Denis, Frédéric-Constant"
Etoile,France,234,192,,,,,Emmens
Eugénie,France,183,160,,,,,Crampanière
Félix (a) Rôdeur (a) Feliz,France,255,213,,,,,"Boucher (a) Bouche, Luiz Maria Leon"
Fox,France,300,294,,,0.02,,Armand
Gazelle (a) Cirella,France,183,160,,,,,"Valentim, Raimundo Mauricio"
Glaneur,France,278,246,,,,,Guenon
Henry,France,273,250,,,,,"Penard, Jean Henri"
Henry,France,273,250,,,,23,"Penard, Jean Henri"
Isis,France,273,250,,,,62,"Lartigue, Jacques"
Jeune Alexandre (a) Prince,France,273,250,,,,78,"Giraud, Pierre"
Jeune Estelle,France,14,12,,,,,"Sanguines, Olympe"
Joseph,France,278,246,,,,,Foucard
Léopold,France,234,192,,,,,"Destouches, Gicquel"
Levrette,France,183,160,,,,36,"Delécluze, Yves"
Louise (a) Normandie,France,145,130,0.25781,0.51563,,,Farcy<br/> Aubry
Magdelaine,France,234,192,,,,,"Maillard, Louis-Hyppolite"
Marie,France,179,159,,,,,Lambert
Mentor (a) Téléma,France,319,263,,,,,Amanieu
 ,France,234,192,,,,,
Perle,France,234,192,,,,,Chauffle
Petite Betsy,France,273,250,,,,,"Blay, Etienne"
Petit Charles,France,234,192,,,,,Faulat
Pierre Valentine,France,234,192,,,,,
Protée,France,401,330,,,,,Coquart du Pouliguen
Societe,France,376,335,,,,,"Arnous, Henry Jean"
Sophie,France,179,159,,,,,
Syrène (a) Cybele,France,234,192,,,,,Gosselin
Thémire,France,234,192,,,,,"Guyot, Honoré<br/> Boetz"
Thereza,France,234,192,,,,,Suarez da Costa
Thétis,France,319,263,,,,,
Valentin,France,300,266,,,,,"Delomosne, Pierre"
Y,France,234,192,,,,,
Abondance,France,319,263,,,,,"Savariau, René Emile<br/> Savario"
Achille,France,234,192,,,,,Igou
Actif,France,78,64,,,,,"Benoit, Etienne Jean"
Africain,France,170,162,,,,,"Bureau, Elie Daniel"
Africain,France,167,146,,,,41,Quoniam
Alcide,France,255,230,,,,,"Hardy, Pierre Jacques"
Aurora,France,164,143,,,,,"Loiseau, Louis"
Béatrix,France,234,192,,,,,
Bonne Amélie,France,202,182,,,,33,"Pelletier, Charles"
Caroline,France,319,263,,,,,Pelleport<br/> Labouret
Clarisse,France,319,263,,,,,"Poussin, Pierre<br/> Lavergne, Louis Etienne"
Confiance,France,316,260,,,,,
Confiance,France,320,286,,,,,"Paqué, Jean Julie"
Constance,France,250,225,,,,,Olivier
Edouard (a) Maria de Gloria,France,266,259,,,0.03,,"Herpin, Jean Victor<br/> Boëtz, Charles"
Elisa,France,234,192,,,,,Jaffro
Elisa,France,273,250,,,,,"Scheult, Robert Charles"
Espérance,France,273,250,,,,,"Thibault, Jean-Pierre"
Espoir,France,220,219,,,0.0,,"Sempreur (a) Lempereur<br/> Leray, Emile"
Etincelle,France,325,300,,,,,Audibert
Etoile,France,234,192,,,,,"Colas, Jean"
Eugène,France,301,276,,,,,"Morin, Franc"
Expérience,France,250,222,,,,,Hugonin
Fox (a) Grand Fox,France,319,263,,,,,Armand
Héritier de Bordeaux,France,234,192,,,,,
Heureuse Etoile (a) Feliz,France,314,289,,,,,"Bompart, Anselme<br/> Dupre, Juan Baptista"
Ida,France,376,335,,,,,Gosselin<br/> Desprès
Iris,France,234,192,,,,,Dutertre
Isa,France,183,160,,,,,Le Dentu
Isis,France,218,200,,,,,"Savariau, René"
Jalouse,France,234,192,,,,,
Jeune Alexandre,France,319,263,,,,,"Giraud, Pierre René"
Jules Hyppolite,France,250,240,,,0.04,,"Delecluze<br/> Ducleguer, Jerôme Louis Guillou"
Josephine,France,103,91,,,,,Averin<br/> Martin
Léander (a) Fame,France,234,192,,,,,Thébaud
Légère,France,273,250,,,,,"Salaün, Clémentin<br/> Blay"
Levrette (a) Aimable,France,183,160,,,,,"Knell, Jean Urbain"
Magdelaine,France,376,335,,,,,"Maillard, Louis Hyppolite"
Marie,France,12,11,,,,,"Guillot, Valentin"
Mathilde,France,278,246,,,,,"Talon, Jacques"
Narcisse,France,234,192,,,,,Razac
Neptune,France,425,350,,,,,"Guilbert, Jean"
Neptune,France,234,192,,,,,Barbier
Normandie (a) Louise,France,234,192,,,,,Farcy
Paix,France,122,104,,,,,
Paquebot,France,179,159,,,,,Plantin
Pensée,France,270,250,,,0.07,,Courpon
Petite Lilie,France,273,250,,,,,Ollivier
Phoenix,France,350,309,,,,,Dupré
Phylis,France,104,101,,,0.03,,Lejeune<br/> Baisse
Pilote,France,376,335,,,,,"Lavergne, Louis Etienne"
Prince,France,319,263,,,,,Truco
Prince D'Orange,France,548,452,,,,,Giraud
Rose,France,179,159,,,,,Gros
Santa Rosalia,France,296,244,,,,,"Truch, Maristan"
Silence,France,514,421,,,,,Fortier
Société,France,273,250,,,,,"Pascal, Henry Jean"
Themis,France,234,192,,,,,Boune
Vierge de Garde,France,234,192,,,,,Castera<br/> Baudin
Y,France,234,192,,,,,
Africain,France,234,192,,,,,Martin
Aigrette,France,278,246,,,,,
Alexandre,France,234,192,,,,,
Amélie,France,245,227,,,0.07,,"Anglade, André-Joseph"
Amphitrite,France,273,250,,,,,"Cohin, Raphaël"
Angèlique,France,352,335,,,,,Raynaud
Apollon,France,234,192,,,,,"Mourailleau, François"
Aurora,France,278,246,,,,,"Dutertre, François Michel"
Basse Terre,France,278,246,,,,,Croizet
Béarnais,France,234,192,,,,,Arnoult
Bonne Mère,France,234,192,,,,,"Beens, François Louis"
Caroly,France,272,240,,,,,"Ruinet, Victor"
Claire,France,234,192,,,,,Dupuytren<br/> Delaroipière
Colibri,France,234,192,,,,,"Boëtz, Charles"
Courrier de Lyon,France,234,192,,,,,Gassies
Cygne,France,234,192,,,,,
Dauphin,France,234,192,,,,,Dumas
Deux Amis,France,12,11,,,,,Mousnier
Deux Amis,France,122,104,,,,,"Houssaye, J B"
Deux Soeurs,France,10,8,,,,,"Routtier, Jean Guillaume"
Dryade,France,273,250,,,,,"Chesneau, J P<br/> Devèze"
Duguay Trouin,France,234,192,,,,,Delepante
Edouard,France,273,250,,,,,"Lancelot, François"
Eglée,France,234,192,,,,,Grenon
Elise,France,234,192,,,,,Gauthier
Eliza,France,246,220,,,,,Robert
Espoir,France,245,234,,,0.04,,Sempreur (a) Lempereur<br/> Leray
Félicie,France,273,250,,,,,"Thibault, Jean Pierre<br/> Crucy, Joseph"
Fox,France,500,412,,,,,Arnaud
Grand Phoque,France,234,192,,,,,
Heureuse Etoile (a) Dichosa Estrella,France,34,29,0.34483,0.31034,0.15,93,"Larose, Domingo Laxos Calias"
Intrépide,France,273,250,,,,,
Jalouse,France,183,160,,,,,
Jeune Caroline,France,234,192,,,,,Ruinet
Josephe,France,278,246,,,,,
Léopold,France,376,335,,,,,Vimar
Lévrier,France,234,192,,,,,Gicquel
Marie Angélique,France,251,230,,,,,"Ménard, Jean-Baptiste"
Modeste,France,319,263,,,,,"Roger, Hyppolite Victor"
Narcisse,France,234,192,,,,,
Pauline Amanda,France,467,390,,,,,"Planté, Louis"
Petit Phoque,France,234,192,,,,,
Rose,France,273,250,,,,,"Knell, Jean<br/> Laborde, Charles"
Royal Désiré,France,234,192,,,,,
Sully,France,234,192,,,,,Deslandes
Suzanne,France,3,3,,,0.0,,"Mille, Joseph Sabatier"
Adélia,France,200,176,,,,,Gauthier
Africain,France,179,159,,,,,"Leduc, Achille"
Agobar,France,273,250,,,,,Mourailleau
Aimable (a) Levre,France,183,160,,,,,"Bidon, Julien"
Amphitrite,France,234,192,,,,,"Gazoux, Charles"
Bonne Amélie (a) Henrietta-Aimée,France,234,192,,,,,Lepelletier
Bonne Sophie,France,234,192,,,,,Chevance
Clémence,France,119,100,,,,,Sabatier<br/> Louves
Créole (a) Isis,France,319,263,,,,,"Fouïard, Pierre Julien"
Deux Nantais,France,319,263,,,,,Pelletier
Deux Nantais,France,273,250,,,,,"Pelletier, Charles"
Eole,France,319,263,,,,,"Savariau, René Emile"
Flèche,France,183,160,,,,,"Vimar, Pierre François Nicolas"
Furet,France,345,300,,,,,Gilles
Glaneur,France,234,192,,,,,Guenon
Henriette Aimée,France,278,245,,,,,Chesnel
Jeune Laure,France,234,192,,,,,
Julie,France,49,40,,,,,Tonna
Lys,France,110,,,,,,
Pauline Amanda,France,505,416,,,,,Planté
Petit Charles,France,234,192,,,,,
Prince d'Orange,France,234,192,,,,,Ruinet
Abeille,France,164,156,,,,,"Dauthon, T A"
Achille,France,,,,,,,"Dutertre, François Michel<br/> Moulin, Pierre"
Actéon,France,273,250,,,,,"Blond, Pierre<br/> Lavergne, Louis"
Adeline (a) Neptune,France,319,263,,,,,Pilon
Adolphe,France,278,246,,,,,Decaen
Africain,France,273,250,,,,,"Gillet, Maurice"
Aimable Henriette,France,273,250,,,,,Brun<br/> Boissel
Alcide,France,273,250,,,,,"Lebrun, Jean-Paul"
Amélie,France,179,159,,,,,Le Borgne
Antonia,France,319,263,,,,,Souscrampe
Avenir (a) Société,France,376,335,,,,,"Deniel, Jean-Baptiste<br/> Quelquay, Jean-Louis"
Bluette,France,376,335,,,,42,"Scheult, Robert Charles"
Bretonne,France,319,263,,,,,Bignoneau
Cayennaise,France,273,250,,,,,Dujong
Charles,France,319,243,,,,,"Loiseau, Louis"
Eléonore,France,140,128,0.35156,0.13281,0.09,,Mourailleau
Emilie,France,273,250,,,,,"Bignoneau, Fidèle Etienne"
Etienne,France,,,,,,,"Piel, Charles"
Eugène (a) Acteon,France,273,250,,,,,"Lavergne, Louis Etienne"
Franchise,France,258,212,,,,,Frappat
Francis,France,273,250,,,,,"Savariau, René Emile"
Gazelle,France,273,250,,,,,"Knell, Jean"
Jacques,France,234,192,,,,,Auger
Jaloux,France,130,107,,,,,Clark
Jules,France,100,87,,,,,"Devarieux, David"
Lévrier,France,273,250,,,,,"Fleury, Nicolas"
Magdelaine,France,273,250,,,,,"Henry, René Marie"
Marie Magdelaine,France,278,246,,,,,Ducroq
Mélanie,France,183,160,,,,,Flinck
Mon Etoile,France,273,250,,,,,"Tierce, Nicolas Auguste"
Nautonnier,France,234,192,,,,,Hulot
Nelly (a) Agile,France,273,250,,,,,"Godefroy, Thomas Auguste"
Notre Dame,France,273,250,,,,,"Daviaud, Jean-Baptiste"
Ondine,France,183,160,,,,,"Roger, Hyppolite Victor"
Pauline Amanda,France,234,192,,,,,"Planté, Louis"
Sophie,France,218,200,,,,,Goyeau
Sirius,France,273,250,,,,,Jouanne
Trident,France,234,192,,,,,
Union,France,273,250,,,,,"Masson, Jean"
Vénus,France,76,66,0.55556,0.44444,,,"Allain, Yves<br/> Desbarbès, André"
Adélaïde,France,273,250,,,,,"Thoumazeau<br/> Terrien, François-Auguste"
Adélaïde,France,273,250,,,,,Terrien
Adolphe (a) Charles,France,273,250,,,,,"Thomas, Jean-Pierre<br/> Chevrier"
Africain,France,490,444,,,,,"Gillet, Maurice"
Aimable,France,183,160,,,,,"Godefroy, Thomas Auguste"
Aimable Henriette,France,273,250,,,,,"Marsac, Jean-Hervé"
Alcyon,France,273,250,,,,,"Thébaud, François"
Alphonse,France,490,444,,,,,"Angaud, Louis"
Amis,France,273,250,,,,,"Devarieux, David"
Arthur,France,183,160,,,,,"Williams, John<br/> Mahé"
Belle (a) Claire,France,,,,,,,Dauthon
Bonne Mère (a) Bluette,France,376,335,,,,,"Brelet, Augustin"
Bretonne,France,183,160,,,,,"Bignoneau, Fidèle-Constant"
Céline,France,273,250,,,,,"Durand, Jean (Aîné)"
Clarisse (a) Deux Nantais,France,400,330,,,,,"Madé, Jean-Pierre"
Clarisse,France,250,200,,,0.2,,"Camin, Blaise Benoît"
Colibri,France,85,85,,,0.0,,Rejou
Elodie,France,273,250,,,,,"Viaud, Louis-Aimé"
Espoir (a) Glaneur,France,273,250,,,,,"Baronnay, Aimé William<br/> Bonnamy"
Etienne,France,273,250,,,,,"Lebrun, Jean-Paul"
Eugène,France,490,444,,,,,"Lavergne, Louis Etienne"
Eugénie,France,250,218,,,,,"Gautier, Joseph"
Fauvette,France,100,85,,,,,Rossignol
Gaston (a) Gustav,France,490,444,,,,,"Héraud, Jacques"
Hyppolite (a) Francis,France,281,176,,,0.01,,"Drumel, Henri-René"
Illisible,France,376,335,,,,,"Durbu, J J"
Jeune Anacharsis,France,183,160,,,,,"Lesage, Charles François<br/> Gravoille"
Jeune Edouard,France,376,335,,,,,"Turbé, Pierre Luc"
Laure,France,280,250,,,0.11,,Boyrie<br/> Labbé
Leone,France,234,192,,,,,
Marie,France,273,250,,,,,"Roger, Hyppolite"
Modèle (a) Mélanie,France,278,246,,,,,
Mon Etoile,France,234,192,,,,,Rossignol
Opoubo (a) Angélina,France,535,440,,,,,"Verrier, Gabriel Zénon"
Paquebot,France,234,192,,,,,
Philibert,France,123,123,0.47761193,0.20895523,,,"Devèze, J"
Philippe,France,183,160,,,,,"Huet, Jean-Marie"
Philippe,France,183,160,,,,,"Huet, Jean-Marie"
Philomène,France,234,192,,,,,
Sylphide,France,183,160,,,,,"Lemerle, Pierre Jean"
Thérèse,France,150,132,,,,,
Ursule,France,183,160,,,,,Douiller
Vive Henriette,France,490,444,,,,,"Halma, Hector"
Zéphyr,France,203,186,,,,,"Daviaud, Louis Marie<br/> Lecour"
Aigle,France,535,440,,,,,
Aline,France,307,277,,,,,"Girette, Jean-Baptiste<br/> Lebesque"
Amis,France,490,444,,,,,"Jardin, Louis Guillaume"
Amis,France,535,440,,,,,Robberechts
Assurance (a) Satyre,France,535,440,,,,,Caron
